record,task,channel,templateHp,replicate,highpass,condition,timeSec,reference,noisyBeforeHighpass,recovered
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,-0.06640625,1.29104173125168,-1.1794293446555,-0.949552411037519
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,-0.0625,1.50109738756402,-0.337438452884135,-0.0144712639631159
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,-0.05859375,1.69784752516338,0.604115678571864,1.02541384987676
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,-0.0546875,1.81566304106808,1.50456092383342,2.01107929153054
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,-0.05078125,1.80444692746611,2.26254996173253,2.81473937436231
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,-0.046875,1.64386539019049,2.81148310518544,3.36878596466584
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,-0.04296875,1.34931304610536,3.11454020107442,3.66735725700271
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,-0.0390625,0.968558142809347,3.17866085577299,3.74539960940594
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,-0.03515625,0.570513213957171,3.04424127803554,3.65764810000895
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,-0.03125,0.229452272426443,2.7869223505896,3.45226969556607
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,-0.02734375,0.00886189402171222,2.50749720334962,3.19526956797529
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,-0.0234375,-0.0511140179426099,2.29308956212551,2.96574987772433
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,-0.01953125,0.0601646791551269,2.2105226075413,2.83931961712647
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,-0.015625,0.325104993766074,2.29437119991286,2.86875614280427
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,-0.01171875,0.70568466723121,2.55048785960875,3.07090856645922
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,-0.0078125,1.15525584650082,2.96434869794672,3.43437654678192
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,-0.00390625,1.63090772923779,3.50326879413356,3.93351931702011
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0,2.10301665403116,4.12118978678745,4.53248091791567
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.00390625,2.55961908598888,4.77184982456163,5.18866306535443
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.0078125,3.00484771838538,5.40628712106725,5.85369195840651
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.01171875,3.45235197814174,5.97649769430703,6.46792584896775
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.015625,3.91588191444945,6.4358239379318,6.97246194537852
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.01953125,4.39975413799341,6.73845480690248,7.30691390431122
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.0234375,4.89172064605789,6.8536505604614,7.42417982762536
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.02734375,5.36001939281904,6.76887333280211,7.29519314552417
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.03125,5.75537258369666,6.48241310087855,6.90572109359033
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.03515625,6.01765316635751,5.99973016952044,6.27888189837013
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.0390625,6.08602067366494,5.32551867206594,5.4494084482395
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.04296875,5.91063184421737,4.46453146003619,4.45162942783838
