record,task,channel,highpass,timeSec,left,right,delta,left_huber,right_huber,delta_huber
A,1,Fz,0.1,-0.3203125,NaN,NaN,NaN,-1.44636425206703,-0.298333799512966,1.14803045255406
A,1,Fz,0.1,-0.31640625,NaN,NaN,NaN,-1.63656551673159,-0.577010025580266,1.05955549115132
A,1,Fz,0.1,-0.3125,NaN,NaN,NaN,-1.74817291089596,-0.696415038746838,1.05175787214912
A,1,Fz,0.1,-0.30859375,NaN,NaN,NaN,-1.76219252245007,-0.880693043489025,0.881499478961047
A,1,Fz,0.1,-0.3046875,NaN,NaN,NaN,-2.02499809131297,-0.536889411821846,1.48810867949112
A,1,Fz,0.1,-0.30078125,NaN,NaN,NaN,-2.15722807858814,0.163307714455332,2.32053579304347
A,1,Fz,0.1,-0.296875,NaN,NaN,NaN,-2.20371594656416,0.928074919492003,3.13179086605616
A,1,Fz,0.1,-0.29296875,NaN,NaN,NaN,-2.54445639187632,1.46963678417807,4.01409317605439
A,1,Fz,0.1,-0.2890625,NaN,NaN,NaN,-2.71608009887793,1.45854098741323,4.17462108629115
A,1,Fz,0.1,-0.28515625,NaN,NaN,NaN,-2.82859593723921,1.12951119571704,3.95810713295625
A,1,Fz,0.1,-0.28125,NaN,NaN,NaN,-2.62721092258698,0.822966229527464,3.45017715211444
A,1,Fz,0.1,-0.27734375,NaN,NaN,NaN,-2.06424737209546,0.696606029987625,2.76085340208308
A,1,Fz,0.1,-0.2734375,NaN,NaN,NaN,-1.63678192358967,0.51406248227886,2.15084440586853
A,1,Fz,0.1,-0.26953125,NaN,NaN,NaN,-1.37609149009785,0.357541092196202,1.73363258229406
A,1,Fz,0.1,-0.265625,NaN,NaN,NaN,-1.24167623370294,0.160598306706767,1.4022745404097
A,1,Fz,0.1,-0.26171875,NaN,NaN,NaN,-1.33382810454343,-0.0479563905603507,1.28587171398308
A,1,Fz,0.1,-0.2578125,NaN,NaN,NaN,-1.3868503733843,-0.263737475214877,1.12311289816943
A,1,Fz,0.1,-0.25390625,NaN,NaN,NaN,-1.53666227441819,-0.794099795146007,0.742562479272184
A,1,Fz,0.1,-0.25,NaN,NaN,NaN,-1.71158586264967,-1.64904143327368,0.0625444293759909
A,1,Fz,0.1,-0.24609375,NaN,NaN,NaN,-1.91512575290475,-2.07682880259342,-0.16170304968867
A,1,Fz,0.1,-0.2421875,NaN,NaN,NaN,-1.96010304506483,-2.05052551072565,-0.0904224656608204
A,1,Fz,0.1,-0.23828125,NaN,NaN,NaN,-1.57333461439407,-1.79786326009528,-0.224528645701209
A,1,Fz,0.1,-0.234375,NaN,NaN,NaN,-1.13423685525254,-1.28590386589953,-0.151667010646989
A,1,Fz,0.1,-0.23046875,NaN,NaN,NaN,-0.895571444907601,-0.671641800917961,0.223929643989641
A,1,Fz,0.1,-0.2265625,NaN,NaN,NaN,-0.826500359238529,-0.247873428179301,0.578626931059227
A,1,Fz,0.1,-0.22265625,NaN,NaN,NaN,-1.01344050619423,-0.369165865204728,0.644274640989498
A,1,Fz,0.1,-0.21875,NaN,NaN,NaN,-1.06464211667203,-0.835957681277065,0.228684435394968
A,1,Fz,0.1,-0.21484375,NaN,NaN,NaN,-0.899776701505767,-1.44701858617853,-0.547241884672766
A,1,Fz,0.1,-0.2109375,NaN,NaN,NaN,-0.623029901521237,-1.67322010336776,-1.05019020184653
A,1,Fz,0.1,-0.20703125,NaN,NaN,NaN,-0.639082120065546,-1.44194595979822,-0.802863839732673
A,1,Fz,0.1,-0.203125,NaN,NaN,NaN,-0.531232707784473,-1.29546119917231,-0.76422849138784
A,1,Fz,0.1,-0.19921875,-0.731137134833651,-0.302725367043846,0.428411767789805,-0.68346212773736,-0.614889599584392,0.0685725281529674
A,1,Fz,0.1,-0.1953125,-0.885980329588213,0.0725437677519599,0.958524097340173,-0.799840251328335,-0.0201653377575988,0.779674913570736
A,1,Fz,0.1,-0.19140625,-1.03685060708475,0.42179921650272,1.45864982358747,-0.978143038595815,0.482207160414057,1.46035019900987
A,1,Fz,0.1,-0.1875,-1.17259671021025,0.711301534370926,1.88389824458118,-1.27925015822606,0.941413030582695,2.22066318880875
A,1,Fz,0.1,-0.18359375,-1.27717508447762,0.912345271845014,2.18952035632263,-1.23043966242815,1.16105583707103,2.39149549949918
A,1,Fz,0.1,-0.1796875,-1.34342996273442,1.01540093743107,2.35883090016548,-1.27096524082421,1.03690317980058,2.30786842062478
A,1,Fz,0.1,-0.17578125,-1.36031095932408,1.03166492007067,2.39197587939474,-1.38455939140567,1.19585996262125,2.58041935402693
A,1,Fz,0.1,-0.171875,-1.31072896176418,0.974125462236193,2.28485442400038,-1.57189589671713,0.871162366644736,2.44305826336186
A,1,Fz,0.1,-0.16796875,-1.17961556024579,0.86945372661257,2.04906928685836,-1.58546224833901,0.93642959858893,2.52189184692794
