record,task,channel,highpass,variant,half_width_sec,target_replaced,click_replaced,n_accepted,modified_samples,modified_fraction,delta_huber_250_500,delta_fit_250_500,change_huber,change_fit
B,2,Fz,0.5,both_015,0.15,1,1,90,15400,0.0674462400910962,-0.390435997212906,-0.371371071316041,0.0141134704212121,0.014022543793627
B,2,F3,0.5,both_015,0.15,1,1,90,15400,0.0674462400910962,3.29675329596098,3.29736635984377,0.00577887980194847,0.00595533221710998
B,2,F4,0.5,both_015,0.15,1,1,90,15400,0.0674462400910962,9.65759737730599,9.64777070648217,0.0236078321271833,0.0235887434340505
B,2,Fz,0.5,both_030,0.3,1,1,90,31000,0.135768405378181,-0.362639417597879,-0.343682470367559,0.0419100500362389,0.041711144742109
B,2,F3,0.5,both_030,0.3,1,1,90,31000,0.135768405378181,3.38044189837498,3.38138075379826,0.0894674822159511,0.0899697261715975
B,2,F4,0.5,both_030,0.3,1,1,90,31000,0.135768405378181,9.74678316628826,9.73634409217745,0.112793621109457,0.112162129129331
B,2,Fz,0.5,target_030,0.3,1,0,90,15500,0.0678842026890903,-0.360498640800893,-0.341516190724088,0.0440508268332253,0.0438774243855797
B,2,F3,0.5,target_030,0.3,1,0,90,15500,0.0678842026890903,3.38170716464834,3.38265787465141,0.0907327484893092,0.0912468470247538
B,2,F4,0.5,target_030,0.3,1,0,90,15500,0.0678842026890903,9.74708825311607,9.73665821088999,0.113098707937267,0.112476247841876
B,2,Fz,0.5,click_030,0.3,0,1,90,15500,0.0678842026890903,-0.406736794695009,-0.3876107437214,-0.00218732706089114,-0.00221712861173257
B,2,F3,0.5,click_030,0.3,0,1,90,15500,0.0678842026890903,3.28951164657066,3.28995970694308,-0.00146276958837088,-0.00145132068358489
B,2,F4,0.5,click_030,0.3,0,1,90,15500,0.0678842026890903,9.63376901902508,9.62394806439681,-0.000220526153720257,-0.000233898651305964
