record,task,channel,highpass,n_left,n_right,baseline_rms,baseline_mad,baseline_variance,trial_to_trial_variance,split_half_r,split_half_left_r,split_half_right_r,split_half_mean_abs_diff,bootstrap_ci_low,bootstrap_ci_high,bootstrap_width,bootstrap_waveform_sd,left_mean_250_500,right_mean_250_500,delta_mean_250_500,left_peak,right_peak,delta_peak,left_latency,right_latency,delta_latency,left_auc,right_auc,delta_auc,delta_min,delta_positive_fraction,baseline_mean_left,baseline_mean_right,baseline_difference,baseline_slope_left,baseline_slope_right,baseline_slope_difference,baseline_early_difference,baseline_late_difference,left_waveform_r_vs_0p1,right_waveform_r_vs_0p1,delta_waveform_r_vs_0p1,delta_waveform_rmse_vs_0p1,left_peak_change_vs_0p1,right_peak_change_vs_0p1,delta_peak_change_vs_0p1,left_latency_shift_ms_vs_0p1,right_latency_shift_ms_vs_0p1,delta_latency_shift_ms_vs_0p1,pre_stimulus_delta_rms,pre_stimulus_delta_zero_crossings,waveform_stability
A,1,F3,0.5,41,39,9.17411853298904,7.1791570720276,84.1850844564645,480.093975766463,-0.154337448950785,0.472991911092324,0.370128311600933,6.51194023329281,-9.12169060464689,8.04916815390263,17.1708587585495,5.03417087084453,-4.15511674553927,-4.1833847573384,-0.0282680117991323,-0.955689738910926,0.0244841736531302,2.97325668889888,0.32421875,0.359375,0.3671875,-1.02108230868268,-1.01359107939197,0.00749122929071854,-4.10654735880095,0.53125,7.09146707947833,-0.169840635531466,-7.2613077150098,-7.67384215785631,3.42858175720827,11.1024239150646,-9.02933901137307,-4.13764014369857,0.807853604550583,0.960678661463198,0.686792435362569,11.763812968965,13.1991561784267,-0.288846046169161,-12.3933714221024,-58.59375,3.90625,19.53125,6.29986341603625,6,0.894072779463769
A,1,F4,0.5,41,39,9.09126609708262,8.04826203595503,82.6713818415525,562.04674380004,-0.0598010477357351,0.739191342874555,0.658982928846014,5.72215021772002,-7.23055735565875,10.4011059094254,17.6316632650841,5.02772458306275,-4.40793593973622,-1.95527268294852,2.45266325678771,0.39344608397834,1.20259166971873,5.46521760223556,0.3359375,0.359375,0.46484375,-1.07800732481413,-0.463490265370176,0.614517059443952,-0.847143252885902,0.90625,1.95275370223088,2.72154803740388,0.768794335172996,1.11165787510546,-1.5048573595319,-2.61651523463736,2.22604805266588,-0.773865373375381,0.842054764255054,0.920162787947106,0.805214362073692,8.94624525366838,9.9232435416247,1.03567250021078,-8.95511137146145,-42.96875,7.8125,50.78125,2.43799851580751,2,0.891548024110254
A,2,Fz,0.1,51,42,16.9781034827617,11.1338295620023,288.316785724143,7043.90683116438,0.51932034585802,0.980204048169989,0.986539208522646,24.9110216680133,-2.36074732050377,57.6470838157977,60.0078311363015,17.0237816566582,16.8283147666257,44.6988623381184,27.8705475714927,30.3676674916741,62.1679571212046,32.6246906692246,0.49609375,0.49609375,0.47265625,4.13887127262084,10.9913606315159,6.85248935889505,24.3567556235404,1,-3.6978562308124,-10.7010554568532,-7.00319922604081,-1.93836296275126,-11.1582675916263,-9.21990462887501,-4.94615365039121,-8.16743066250147,1,1,1,0,0,0,0,0,0,0,6.83258548819618,3,0.975703973817755
A,2,F3,0.1,51,42,27.310898564239,15.2829910673832,746.042473760338,27020.93434961,0.671143209096357,0.958198010151164,0.985167924505286,35.8073299316334,2.33453480262025,118.550512731813,116.215977929193,29.910433147662,23.8747136133924,85.2082891995616,61.3335755861693,39.9232610019576,109.110837033575,69.8492039903613,0.49609375,0.49609375,0.47265625,5.87320066029474,20.9651847500822,15.0919840897874,54.0962969188201,1,-23.7707104030693,-15.2456998533763,8.52501054969298,24.0804516386907,-12.2309242008848,-36.3113758395755,12.3152628749002,-16.6226561348709,1,1,1,0,0,0,0,0,0,0,13.5001950503679,1,0.978408427885123
A,2,F4,0.1,51,42,23.0149744687465,13.5752031776373,529.800751410255,15777.9535601894,0.68247646052898,0.979658055529521,0.99057596858256,29.7816547115407,-8.8689261652178,76.4361398295201,85.3050659947379,23.4966559897189,32.4209547752667,69.7022149941398,37.2812602188732,47.130363132611,90.779312689604,45.9821337009622,0.49609375,0.49609375,0.46875,7.97572209597342,17.1493200127648,9.17359791679139,29.4963435794817,1,-4.6499518041253,-25.6456995420648,-20.9957477379395,-8.315343374276,30.7671721400277,39.0825155143037,-22.9559443997902,-11.6833032293271,1,1,1,0,0,0,0,0,0,0,20.6374581426685,3,0.985673941085338
A,2,Fz,0.2,51,42,14.8166826821704,10.0763583023813,219.580381378044,3951.27516983995,0.0144388778755873,0.982442384934404,0.986148967242221,12.5207365344669,-4.05186433584885,37.4113019796133,41.4631663154622,13.0089477225796,15.4156848511194,30.9864136936063,15.5707288424869,29.3419015341414,41.2637488561532,17.6415214704087,0.49609375,0.49609375,0.25390625,3.7880550757903,7.62350797392167,3.83545289813138,11.9218473220118,1,-4.52034381476628,-9.01838494907649,-4.49804113431022,-0.435851562869004,-1.82384622735445,-1.38799466448545,-1.93131534939805,-5.58684028504844,0.999685981588058,0.998299043542576,0.975201417102024,17.0156409352629,-1.02576595753266,-20.9042082650514,-14.9831691988159,0,0,-218.75,5.24291051940457,5,0.987858230700833
A,2,F3,0.2,51,42,24.2632126440933,13.7783170023081,588.827634477993,20038.3234645048,0.294039500109487,0.965228679941852,0.977794905963133,27.7696237912904,-2.53473464282427,90.428644712084,92.9633793549083,23.9546019294511,18.6496253077874,63.145878661502,44.4962533537145,34.3328815758381,77.4601899562822,47.7000718667616,0.49609375,0.49609375,0.46484375,4.58370628958173,15.5400045965493,10.9562983069676,42.2697692016213,1,-18.9850639065982,-14.0352408633905,4.9498230432077,19.2869603250915,1.57960957229408,-17.7073507527975,7.66736589862878,-13.0841596379603,0.998735763519494,0.998344702672482,0.978111711374301,24.6335929709839,-5.59037942611946,-31.6506470772924,-22.1491321235997,0,0,-7.8125,10.0891834497556,1,0.97873010703848
A,2,F4,0.2,51,42,20.3229610420118,12.2013641662755,413.109844364881,10492.1388312252,0.202414688981236,0.982448426194025,0.987886975215007,20.4237006047742,-9.72079379506366,53.1034511860476,62.8242449811112,17.9175321969287,26.2143913159363,47.7893426411383,21.5749513252021,39.3459305267407,60.153241803555,25.9327902315881,0.49609375,0.49609375,0.46484375,6.44894132997556,11.7637647244013,5.31482339442575,16.4779781753873,1,-5.92674534340696,-16.1793316885971,-10.2525863451901,-1.94941703469039,11.6512433129915,13.6006603476819,-9.62697936825694,-5.76316630197989,0.999490358727752,0.998582826300053,0.985497440391324,24.8031256849487,-7.78443260587031,-30.6260708860491,-20.0493434693741,0,0,-3.90625,10.7761944095524,3,0.985673941085338
A,2,Fz,0.25,51,42,13.9064790008925,9.40640563942437,193.430940605933,2842.64382007581,-0.229079753937835,0.983194949030764,0.985685502027877,8.58229949014759,-3.55740343357416,29.2095591276717,32.7669625612459,11.1485266537039,11.1947780551618,23.4052129908445,12.2104349356827,23.9349746816817,32.3202822019164,14.3521124620996,0.49609375,0.49609375,0.2578125,2.74816238218702,5.75724348491465,3.00908110272763,8.38530752023469,1,-2.5703751593114,-6.25934053697828,-3.68896537766688,-7.41662211396627,-1.92047469077162,5.49614742319465,-2.46173637932931,-3.95085978416022,0.998870271954808,0.99586246712375,0.940003300809754,22.2189162254181,-6.43269280999235,-29.8476749192882,-18.272578207125,0,0,-214.84375,5.3538256670678,5,0.987858230700833
A,2,F3,0.25,51,42,22.5737043526049,12.781501900981,509.67958752572,16461.5652433538,0.0538964104373113,0.965856412860154,0.97116098289791,25.5741348606821,-2.12486290456859,78.5705893426059,80.6954522471745,21.4489421315773,14.2703033361427,51.9916704346683,37.7213670985256,29.5119601425582,62.5425973678251,38.8142769386166,0.49609375,0.49609375,0.41796875,3.50401431279016,12.7958384297821,9.2918241169919,33.0306372252669,1,-14.3646072561784,-9.18645054709634,5.17815670908208,13.7194631891336,-5.84731777942603,-19.5667809685597,7.09056813011173,-11.6150192923904,0.997404530569289,0.995689828696106,0.919353379315548,34.0892660741189,-10.4113008593993,-46.5682396657495,-31.0349270517448,0,0,-54.6875,8.76120271616844,1,0.97873010703848
