record,task,trial,cueIndex,cueTime,cueDir,targetIndex,targetTime,targetDir,clickIndex,clickTime,clickDir,cueToTargetSec,targetToClickSec,inBounds,rawClipped,peakToPeak,maxJump,highPeak,highJump,accepted
VisualCogA_Task-1,1,75,164368,642.05859375,-1,164935,644.2734375,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,185.976958876936,25.9403372243839,0,0,1
VisualCogA_Task-1,1,76,166496,650.37109375,1,167064,652.58984375,1,NaN,NaN,NaN,2.21875,NaN,1,0,187.533379110399,31.8303196765088,0,0,1
VisualCogA_Task-1,1,77,168597,658.578125,-1,169164,660.79296875,-1,NaN,NaN,NaN,2.21484375,NaN,1,1,298.710612649729,24.8416876478218,0,0,0
VisualCogA_Task-1,1,78,170737,666.9375,-1,171305,669.15625,-1,NaN,NaN,NaN,2.21875,NaN,1,0,790.478370336461,44.2206454566262,1,0,0
VisualCogA_Task-1,1,79,172862,675.23828125,-1,173430,677.45703125,-1,NaN,NaN,NaN,2.21875,NaN,1,0,82.1545738918135,33.1425955596246,0,0,1
VisualCogA_Task-1,1,80,175003,683.6015625,-1,175570,685.81640625,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,123.720149538415,29.907682917525,0,0,1
VisualCogA_Task-1,1,81,177171,692.0703125,-1,177738,694.28515625,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,201.022354467079,39.8870832379644,0,0,1
VisualCogA_Task-1,1,82,179319,700.4609375,1,179887,702.6796875,1,NaN,NaN,NaN,2.21875,NaN,1,0,98.7258716716257,32.9900053406577,0,0,1
VisualCogA_Task-1,1,83,181460,708.82421875,-1,182027,711.0390625,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,249.485008010986,30.7927061875334,0,0,1
VisualCogA_Task-1,1,84,183557,717.015625,1,184124,719.23046875,1,NaN,NaN,NaN,2.21484375,NaN,1,0,498.970016021973,38.8189517051956,0,0,1
VisualCogA_Task-1,1,85,185673,725.28125,-1,186240,727.49609375,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,387.335011825742,33.9360646982529,0,0,1
VisualCogA_Task-1,1,86,187790,733.55078125,1,188357,735.765625,1,NaN,NaN,NaN,2.21484375,NaN,1,0,163.485160601206,27.4967574578471,0,0,1
VisualCogA_Task-1,1,87,189910,741.83203125,1,190478,744.05078125,1,NaN,NaN,NaN,2.21875,NaN,1,0,105.653467612726,31.8303196765088,0,0,1
VisualCogA_Task-1,1,88,192087,750.3359375,1,192654,752.55078125,1,NaN,NaN,NaN,2.21484375,NaN,1,1,928.877698939498,36.1943999389639,1,0,0
VisualCogA_Task-1,1,89,194211,758.6328125,1,194779,760.8515625,1,NaN,NaN,NaN,2.21875,NaN,1,0,160.7385366598,23.9566643778135,0,0,1
VisualCogA_Task-1,1,90,196340,766.94921875,1,196907,769.1640625,1,NaN,NaN,NaN,2.21484375,NaN,1,0,151.979858091096,32.2270542458227,0,0,1
VisualCogA_Task-1,1,91,198452,775.19921875,-1,199020,777.41796875,-1,NaN,NaN,NaN,2.21875,NaN,1,0,611.795223926146,39.2156862745101,0,0,1
VisualCogA_Task-1,1,92,200657,783.8125,1,201224,786.02734375,1,NaN,NaN,NaN,2.21484375,NaN,1,0,91.3405050736247,31.0673685816739,0,0,1
VisualCogA_Task-1,1,93,202757,792.015625,1,203325,794.234375,1,NaN,NaN,NaN,2.21875,NaN,1,0,178.744182497902,28.3817807278554,0,0,1
VisualCogA_Task-1,1,94,204942,800.55078125,1,205509,802.765625,1,NaN,NaN,NaN,2.21484375,NaN,1,0,113.557640955215,43.6713206683452,0,0,1
VisualCogA_Task-1,1,95,207114,809.03515625,-1,207682,811.25390625,-1,NaN,NaN,NaN,2.21875,NaN,1,0,134.706645304036,30.7621881437401,0,0,1
VisualCogA_Task-1,1,96,209287,817.5234375,1,209854,819.73828125,1,NaN,NaN,NaN,2.21484375,NaN,1,0,156.466010528725,44.6784161135272,0,0,1
VisualCogA_Task-1,1,97,211383,825.7109375,1,211951,827.9296875,1,NaN,NaN,NaN,2.21875,NaN,1,0,317.082475013352,30.1823453116656,0,0,1
VisualCogA_Task-1,1,98,213468,833.85546875,-1,214035,836.0703125,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,612.924391546502,36.8657969024187,0,0,1
VisualCogA_Task-1,1,99,215620,842.26171875,-1,216188,844.48046875,-1,NaN,NaN,NaN,2.21875,NaN,1,0,116.334782940414,28.3817807278554,0,0,1
VisualCogA_Task-1,1,100,217817,850.84375,1,218384,853.05859375,1,NaN,NaN,NaN,2.21484375,NaN,1,0,99.7024490730146,29.9382009613184,0,0,1
VisualCogA_Task-2,2,1,5134,20.05078125,1,5702,22.26953125,-1,6135,23.9609375,-1,2.21875,1.69140625,1,0,404.058899824521,33.5393301289387,0,0,1
VisualCogA_Task-2,2,2,7419,28.9765625,-1,7986,31.19140625,-1,8491,33.1640625,-1,2.21484375,1.97265625,1,0,272.709239337759,31.9523918516824,0,0,1
VisualCogA_Task-2,2,3,9779,38.1953125,-1,10346,40.41015625,-1,10731,41.9140625,-1,2.21484375,1.50390625,1,0,135.347524223698,29.8771648737315,0,0,1
VisualCogA_Task-2,2,4,12015,46.9296875,-1,12582,49.14453125,-1,12970,50.66015625,-1,2.21484375,1.515625,1,0,114.50370031281,32.6543068589303,0,0,1
VisualCogA_Task-2,2,5,14256,55.68359375,1,14823,57.8984375,-1,15194,59.34765625,-1,2.21484375,1.44921875,1,0,253.330281528954,32.7763790341039,0,0,1
VisualCogA_Task-2,2,6,16480,64.37109375,-1,17047,66.5859375,1,17390,67.92578125,1,2.21484375,1.33984375,1,0,269.901579308766,26.1844815747311,0,0,1
VisualCogA_Task-2,2,7,18676,72.94921875,1,19244,75.16796875,-1,19581,76.484375,-1,2.21875,1.31640625,1,0,159.945067521172,25.72671091783,0,0,1
VisualCogA_Task-2,2,8,20865,81.5,1,21432,83.71484375,-1,21773,85.046875,-1,2.21484375,1.33203125,1,0,335.393301289387,32.5932707713436,0,0,1
VisualCogA_Task-2,2,9,23057,90.0625,-1,23625,92.28125,1,24051,93.9453125,1,2.21875,1.6640625,1,0,248.08117799649,30.4875257495994,0,0,1
VisualCogA_Task-2,2,10,25338,98.97265625,-1,25905,101.1875,-1,26249,102.53125,-1,2.21484375,1.34375,1,0,339.665827420462,24.9637598229954,0,0,1
VisualCogA_Task-2,2,11,27534,107.55078125,1,28101,109.765625,1,28479,111.2421875,1,2.21484375,1.4765625,1,0,166.384374761578,33.2951857785918,0,0,1
VisualCogA_Task-2,2,12,29762,116.25390625,1,30330,118.47265625,-1,30688,119.87109375,-1,2.21875,1.3984375,1,0,379.278248264286,31.9829098954758,0,0,1
VisualCogA_Task-2,2,13,31971,124.8828125,1,32538,127.09765625,-1,32884,128.44921875,-1,2.21484375,1.3515625,1,0,201.449607080186,21.3321126115816,0,0,1
VisualCogA_Task-2,2,14,34167,133.4609375,-1,34735,135.6796875,-1,35128,137.21484375,-1,2.21875,1.53515625,1,0,609.506370641642,28.9921416037232,0,0,1
VisualCogA_Task-2,2,15,36416,142.24609375,-1,36983,144.4609375,1,37416,146.15234375,1,2.21484375,1.69140625,1,0,217.257953765164,23.0411230640116,0,0,1
VisualCogA_Task-2,2,16,38700,151.16796875,-1,39268,153.38671875,1,39658,154.91015625,1,2.21875,1.5234375,1,0,252.079041733425,29.205767910277,0,0,1
VisualCogA_Task-2,2,17,40944,159.93359375,1,41512,162.15234375,-1,41875,163.5703125,-1,2.21875,1.41796875,1,0,456.366826886397,24.933241779202,0,0,1
VisualCogA_Task-2,2,18,43165,168.609375,1,43732,170.82421875,1,44134,172.39453125,1,2.21484375,1.5703125,1,0,489.417868314641,21.2710765239948,0,0,1
VisualCogA_Task-2,2,19,45421,177.421875,-1,45989,179.640625,1,46307,180.8828125,1,2.21875,1.2421875,1,0,546.211947814145,23.9566643778135,0,0,1
VisualCogA_Task-2,2,20,47594,185.91015625,-1,48161,188.125,1,48539,189.6015625,1,2.21484375,1.4765625,1,0,290.409704737926,27.0389868009461,0,0,1
VisualCogA_Task-2,2,21,49822,194.61328125,1,50389,196.828125,-1,50720,198.12109375,-1,2.21484375,1.29296875,1,0,232.028686961166,22.0950637064163,0,0,1
VisualCogA_Task-2,2,22,52006,203.14453125,-1,52574,205.36328125,-1,52940,206.79296875,-1,2.21875,1.4296875,1,0,646.219577325093,21.057450217441,0,0,1
VisualCogA_Task-2,2,23,54227,211.8203125,1,54794,214.03515625,1,55132,215.35546875,1,2.21484375,1.3203125,1,0,425.696192874037,21.5762569619287,0,0,1
VisualCogA_Task-2,2,24,56419,220.3828125,1,56987,222.6015625,-1,57345,224,-1,2.21875,1.3984375,1,0,63.9047837033645,25.4215304798965,0,0,1
VisualCogA_Task-2,2,25,58632,229.02734375,-1,59199,231.2421875,1,59513,232.46875,1,2.21484375,1.2265625,1,0,345.342183566033,26.1844815747309,0,0,1
VisualCogA_Task-2,2,26,60796,237.48046875,-1,61364,239.69921875,1,61689,240.96875,1,2.21875,1.26953125,1,0,225.253681239033,26.9169146257725,0,0,1
VisualCogA_Task-2,2,27,62973,245.984375,1,63540,248.19921875,1,63896,249.58984375,1,2.21484375,1.390625,1,0,576.852063782711,22.766460669871,0,0,1
VisualCogA_Task-2,2,28,65182,254.61328125,1,65749,256.828125,1,66120,258.27734375,1,2.21484375,1.44921875,1,0,303.288319218738,21.515220874342,0,0,1
VisualCogA_Task-2,2,29,67406,263.30078125,1,67973,265.515625,1,68400,267.18359375,1,2.21484375,1.66796875,1,0,681.681544213016,22.064545662623,0,0,1
