record,task,cueDir,timeSec,commonMode,midlineContrast,lateralContrast
VisualCogA_Task-1,1,-1,0.265625,-1.76001355290797,4.34001637559798,1.38710083424899
VisualCogA_Task-1,1,-1,0.26953125,-1.41850322515598,4.29425894153825,1.44728595000603
VisualCogA_Task-1,1,-1,0.2734375,-1.14021806890206,4.19719728376983,1.45520070185568
VisualCogA_Task-1,1,-1,0.27734375,-0.917037450008244,4.07720692823715,1.39507153691153
VisualCogA_Task-1,1,-1,0.28125,-0.738650084615439,3.98376486429731,1.28036322225668
VisualCogA_Task-1,1,-1,0.28515625,-0.592835980612773,3.96186198430846,1.14046852710851
VisualCogA_Task-1,1,-1,0.2890625,-0.469398166746897,4.01427619770437,1.00152779312459
VisualCogA_Task-1,1,-1,0.29296875,-0.356943297350689,4.13434558544686,0.890366570536577
VisualCogA_Task-1,1,-1,0.296875,-0.247467011575594,4.30786268547888,0.812685324049176
VisualCogA_Task-1,1,-1,0.30078125,-0.13471542496195,4.50917648281777,0.744751426627955
VisualCogA_Task-1,1,-1,0.3046875,-0.00063090663500535,4.71657654896674,0.650820540921863
VisualCogA_Task-1,1,-1,0.30859375,0.177034536043678,4.93726949456258,0.5083571558797
VisualCogA_Task-1,1,-1,0.3125,0.417041745086886,5.17536326672001,0.307067946077985
VisualCogA_Task-1,1,-1,0.31640625,0.721638071354355,5.43327170724944,0.0384627950708396
VisualCogA_Task-1,1,-1,0.3203125,1.06684303357592,5.71890279989517,-0.30606327446233
VisualCogA_Task-1,1,-1,0.32421875,1.40621737628276,6.02763535446168,-0.705390660746258
VisualCogA_Task-1,1,-1,0.328125,1.68341522147199,6.32503068007963,-1.09472814288848
VisualCogA_Task-1,1,-1,0.33203125,1.8413218257458,6.56914356181332,-1.39981709460498
VisualCogA_Task-1,1,-1,0.3359375,1.84678536337856,6.71804813518269,-1.57202019798801
VisualCogA_Task-1,1,-1,0.33984375,1.69589356944001,6.75011485097832,-1.60698512551646
VisualCogA_Task-1,1,-1,0.34375,1.41139016727398,6.67121623026044,-1.53011166178705
VisualCogA_Task-1,1,-1,0.34765625,1.0333143819299,6.50729508070552,-1.38258350612662
VisualCogA_Task-1,1,-1,0.3515625,0.603663224833398,6.29285604670162,-1.21912825050417
VisualCogA_Task-1,1,-1,0.35546875,0.156368439636741,6.06715887243098,-1.08970536657926
VisualCogA_Task-1,1,-1,0.359375,-0.271725259944672,5.85331907591775,-1.02247505343219
VisualCogA_Task-1,1,-1,0.36328125,-0.650191615575208,5.66773488776102,-1.00426533589548
VisualCogA_Task-1,1,-1,0.3671875,-0.963120297151443,5.52903010703618,-1.00803504063115
VisualCogA_Task-1,1,-1,0.37109375,-1.20411454790636,5.44488882396221,-0.993901076888182
VisualCogA_Task-1,1,-1,0.375,-1.37932832857001,5.41250100737986,-0.949394689801417
VisualCogA_Task-1,1,-1,0.37890625,-1.51125978414968,5.40649879099156,-0.861827669299155
VisualCogA_Task-1,1,-1,0.3828125,-1.64368506208882,5.40731075897113,-0.7066394524618
VisualCogA_Task-1,1,-1,0.38671875,-1.82928827326139,5.40657766914526,-0.463617071541223
VisualCogA_Task-1,1,-1,0.390625,-2.11476802880259,5.40002394703552,-0.129424378004651
VisualCogA_Task-1,1,-1,0.39453125,-2.5183717989181,5.39104773788241,0.27327616127962
VisualCogA_Task-1,1,-1,0.3984375,-3.01648383678511,5.37753291821422,0.677898433763111
VisualCogA_Task-1,1,-1,0.40234375,-3.54510234501173,5.35669152866261,0.993783743730277
VisualCogA_Task-1,1,-1,0.40625,-4.02772139267851,5.33519473859338,1.14279869971559
VisualCogA_Task-1,1,-1,0.41015625,-4.40389128041537,5.33422181618822,1.08653983894762
VisualCogA_Task-1,1,-1,0.4140625,-4.65405360882186,5.36406580967711,0.830112372103176
VisualCogA_Task-1,1,-1,0.41796875,-4.80240161509752,5.42061435146111,0.421495795514679
VisualCogA_Task-1,1,-1,0.421875,-4.90811153592315,5.487430711354,-0.0640120836798896
VisualCogA_Task-1,1,-1,0.42578125,-5.04241827860186,5.5364382371433,-0.533903975071625
VisualCogA_Task-1,1,-1,0.4296875,-5.26817959224931,5.54961592161032,-0.902818700237934
VisualCogA_Task-1,1,-1,0.43359375,-5.62133946429466,5.5327676045972,-1.13027695657966
VisualCogA_Task-1,1,-1,0.4375,-6.08843669514676,5.49612607768393,-1.18029909590377
VisualCogA_Task-1,1,-1,0.44140625,-6.6090402727835,5.45262955668928,-1.04224986522932
VisualCogA_Task-1,1,-1,0.4453125,-7.10276838688033,5.41615402095213,-0.749689178047298
VisualCogA_Task-1,1,-1,0.44921875,-7.48670106763216,5.38277897830751,-0.363977666024343
VisualCogA_Task-1,1,-1,0.453125,-7.69656930668938,5.33432281017815,0.0460212245507652
VisualCogA_Task-1,1,-1,0.45703125,-7.69830048212016,5.25694676259948,0.439274472714489
VisualCogA_Task-1,1,-1,0.4609375,-7.49490042722677,5.14525734013555,0.808503332091874
VisualCogA_Task-1,1,-1,0.46484375,-7.12189871940229,5.01062060784545,1.15777986639695
VisualCogA_Task-1,1,-1,0.46875,-6.6422527559866,4.87601811638351,1.47013497046933
VisualCogA_Task-1,1,-1,0.47265625,-6.13670511653434,4.75367730987019,1.71265652623646
