record,task,highPassHz,electrode,condition,nTrials,preEarlyMean,preLateMean,midMean,lateMean,lateMinusMid
VisualCogA_Task-2,2,1,F3,left,50,-7.7765699005423,-0.0674893593318035,-17.2974907038689,14.2235675328571,31.5210582367261
VisualCogA_Task-2,2,1,F3,right,38,-0.794285943228738,-0.498483498536598,-13.4667049022227,21.0674504469695,34.5341553491922
VisualCogA_Task-2,2,1,F3,right_minus_left,38,6.98228395731356,-0.430994139204794,3.83078580164623,6.84388291411234,3.01309711246611
VisualCogA_Task-2,2,1,F4,left,50,-6.40332160970778,-0.110367201073402,-20.8019057098728,20.3941267304932,41.1960324403661
VisualCogA_Task-2,2,1,F4,right,38,-1.94192887302443,-0.526394878666338,-18.4121578594662,24.789455780574,43.2016136400402
VisualCogA_Task-2,2,1,F4,right_minus_left,38,4.46139273668334,-0.416027677592936,2.38974785040661,4.39532905008073,2.00558119967412
VisualCogB_Task-1,1,0.1,Fz,left,41,-19.5762899130784,-0.685262514799709,15.5700497308143,34.8654451671603,19.2953954363459
VisualCogB_Task-1,1,0.1,Fz,right,44,-28.069127536301,-1.28032947709229,9.78078835360717,30.2455090778156,20.4647207242084
VisualCogB_Task-1,1,0.1,Fz,right_minus_left,41,-8.49283762322264,-0.59506696229258,-5.78926137720715,-4.61993608934464,1.16932528786251
VisualCogB_Task-1,1,0.1,F3,left,41,13.1317487756319,1.02997704763994,5.48869921935192,37.4658327230362,31.9771335036843
VisualCogB_Task-1,1,0.1,F3,right,44,4.53436289247582,0.281895315696861,-4.2404880667325,18.7320125121625,22.972500578895
VisualCogB_Task-1,1,0.1,F3,right_minus_left,41,-8.59738588315606,-0.748081731943082,-9.72918728608443,-18.7338202108737,-9.00463292478929
VisualCogB_Task-1,1,0.1,F4,left,41,-12.8845489094249,-0.787361361198451,14.7726258503784,54.6343988365998,39.8617729862215
VisualCogB_Task-1,1,0.1,F4,right,44,4.92213061016191,0.247223471718815,-5.03557940787757,23.4993600743038,28.5349394821814
VisualCogB_Task-1,1,0.1,F4,right_minus_left,41,17.8066795195868,1.03458483291727,-19.8082052582559,-31.135038762296,-11.3268335040401
VisualCogB_Task-1,1,0.5,Fz,left,41,-0.362101209689262,0.20757660699959,4.13576182478238,23.6798908454934,19.544129020711
VisualCogB_Task-1,1,0.5,Fz,right,44,-3.62822386155785,-0.101131685108245,-1.78213222134137,17.1207645850641,18.9028968064054
VisualCogB_Task-1,1,0.5,Fz,right_minus_left,41,-3.26612265186859,-0.308708292107835,-5.91789404612376,-6.5591262604293,-0.641232214305543
VisualCogB_Task-1,1,0.5,F3,left,41,8.55011336842897,0.888990244902379,-8.4577461460545,10.6937841989406,19.1515303449951
VisualCogB_Task-1,1,0.5,F3,right,44,-0.303474072262313,0.22320981987689,-6.33827779715514,7.58022870154808,13.9185064987032
VisualCogB_Task-1,1,0.5,F3,right_minus_left,41,-8.85358744069128,-0.66578042502549,2.11946834889935,-3.11355549739253,-5.23302384629188
VisualCogB_Task-1,1,0.5,F4,left,41,-0.998761736774062,-0.0501617198846234,-6.47957675156151,11.3146026358774,17.7941793874389
VisualCogB_Task-1,1,0.5,F4,right,44,2.93404833668018,0.13600720351141,-10.5165816740511,10.3115695008212,20.8281511748724
VisualCogB_Task-1,1,0.5,F4,right_minus_left,41,3.93281007345424,0.186168923396034,-4.03700492248963,-1.00303313505617,3.03397178743346
VisualCogB_Task-1,1,1,Fz,left,41,-0.419940435542822,0.052157965982666,-1.9978696547346,8.39782265312601,10.3956923078606
VisualCogB_Task-1,1,1,Fz,right,44,-0.534928872775837,0.0603379492330342,-3.56792769618179,8.174372068353,11.7422997645348
VisualCogB_Task-1,1,1,Fz,right_minus_left,41,-0.114988437233015,0.00817998325036829,-1.57005804144719,-0.22345058477301,1.34660745667418
VisualCogB_Task-1,1,1,F3,left,41,-1.7800785881047,0.0831579240038391,-5.7727888809994,5.79208525451436,11.5648741355138
VisualCogB_Task-1,1,1,F3,right,44,-1.28944048126388,0.0265445280867349,-4.29743583526723,5.07369595028282,9.37113178555005
VisualCogB_Task-1,1,1,F3,right_minus_left,41,0.490638106840816,-0.0566133959171041,1.47535304573217,-0.718389304231539,-2.19374234996371
VisualCogB_Task-1,1,1,F4,left,41,-1.90377646383166,-0.10384364908981,-5.29758708426765,5.67983423903921,10.9774213233069
VisualCogB_Task-1,1,1,F4,right,44,-1.61811474615022,-0.111378057694063,-5.53317171110477,7.73105103947332,13.2642227505781
VisualCogB_Task-1,1,1,F4,right_minus_left,41,0.285661717681446,-0.00753440860425321,-0.23558462683712,2.05121680043411,2.28680142727123
VisualCogB_Task-2,2,0.1,Fz,left,39,-43.2668633548732,-3.0481488380614,31.404262583153,105.998165089722,74.5939025065688
VisualCogB_Task-2,2,0.1,Fz,right,43,-43.6198844317966,-2.44991881389302,37.9639054150294,134.337885587768,96.3739801727386
VisualCogB_Task-2,2,0.1,Fz,right_minus_left,39,-0.353021076923421,0.598230024168384,6.55964283187636,28.3397204980461,21.7800776661697
VisualCogB_Task-2,2,0.1,F3,left,39,-38.3160165877663,-1.69392298849347,-17.5029083746674,-1.5093818403417,15.9935265343257
VisualCogB_Task-2,2,0.1,F3,right,43,-29.4302409532834,-2.04873032792885,7.12655199236592,80.7384530395226,73.6119010471567
VisualCogB_Task-2,2,0.1,F3,right_minus_left,39,8.88577563448288,-0.354807339435381,24.6294603670334,82.2478348798643,57.6183745128309
VisualCogB_Task-2,2,0.1,F4,left,39,-59.5106769752784,-2.91279243900189,29.4090436153261,115.663502528737,86.2544589134108
VisualCogB_Task-2,2,0.1,F4,right,43,-34.8105405260897,-2.52162829910582,46.6903476816448,173.634708003991,126.944360322347
VisualCogB_Task-2,2,0.1,F4,right_minus_left,39,24.7001364491887,0.39116413989607,17.2813040663186,57.9712054752544,40.6899014089357
VisualCogB_Task-2,2,0.5,Fz,left,39,5.13466419367507,-0.335052589679719,-16.3845775084716,47.6229835584006,64.0075610668722
VisualCogB_Task-2,2,0.5,Fz,right,43,4.48423136044616,0.259111426120787,-14.7819748417963,60.4014633673105,75.1834382091067
VisualCogB_Task-2,2,0.5,Fz,right_minus_left,39,-0.650432833228911,0.594164015800506,1.60260266667531,12.7784798089099,11.1758771422346
VisualCogB_Task-2,2,0.5,F3,left,39,4.99073567622289,-0.0267628386659061,-25.4112428322056,16.5307612286714,41.942004060877
VisualCogB_Task-2,2,0.5,F3,right,43,14.2793177025856,0.269078268502084,-14.2157580245041,56.0874675082668,70.3032255327708
VisualCogB_Task-2,2,0.5,F3,right_minus_left,39,9.28858202636274,0.295841107167989,11.1954848077016,39.5567062795954,28.3612214718938
VisualCogB_Task-2,2,0.5,F4,left,39,-2.03548464886014,0.758615435864409,-33.0015197369716,41.234545466035,74.2360652030066
VisualCogB_Task-2,2,0.5,F4,right,43,18.7694206979742,0.746131452496202,-17.8673317634095,81.0053228789603,98.8726546423698
VisualCogB_Task-2,2,0.5,F4,right_minus_left,39,20.8049053468344,-0.0124839833682063,15.1341879735621,39.7707774129252,24.6365894393632
VisualCogB_Task-2,2,1,Fz,left,39,-2.01477358565845,-0.973800293928997,-17.7618685771475,20.7649798407028,38.5268484178503
VisualCogB_Task-2,2,1,Fz,right,43,-4.24215014219041,-0.3652185041807,-18.6105453213989,25.1418929219301,43.752438243329
VisualCogB_Task-2,2,1,Fz,right_minus_left,39,-2.22737655653196,0.608581789748297,-0.848676744251356,4.37691308122733,5.22558982547869
VisualCogB_Task-2,2,1,F3,left,39,0.0516954739275679,-0.905042497159467,-14.2411049744365,16.6104910511047,30.8515960255413
VisualCogB_Task-2,2,1,F3,right,43,-4.24881838510667,-0.120834358428195,-16.2194537844178,22.5500434043557,38.7694971887735
VisualCogB_Task-2,2,1,F3,right_minus_left,39,-4.30051385903424,0.784208138731272,-1.97834880998125,5.93955235325096,7.9179011632322
VisualCogB_Task-2,2,1,F4,left,39,-2.05128610850144,-0.327330152620923,-23.2273618334956,22.6825563739562,45.9099182074518
VisualCogB_Task-2,2,1,F4,right,43,-1.96377440601546,-0.0982657352410112,-21.8607303943766,31.5977699734577,53.4585003678343
VisualCogB_Task-2,2,1,F4,right_minus_left,39,0.0875117024859871,0.229064417379912,1.36663143911901,8.91521359950145,7.54858216038244
