record,task,cueDir,channel,nTrials,midMean,lateMean,lateMinusMid,ciLow,ciHigh,latePeak,peakTimeSec
VisualCogB_Task-1,1,-1,common_FzF3F4,41,-3.73154994917417,13.6761929294729,19.6887471596985,10.6484429662392,28.0523873459835,24.077433518147,0.69140625
VisualCogB_Task-1,1,-1,F3_minus_F4,41,-4.74910730667943,-3.69244910844087,-1.18286957259607,-9.63784510273183,6.32913857347021,2.61267174444109,0.75
VisualCogB_Task-1,1,1,Fz,46,-0.0883758243401578,17.6585109619313,15.2067465482947,7.58247566719141,22.52899509732,30.0340049455361,0.671875
VisualCogB_Task-1,1,1,F3,46,-5.28053897382401,7.38266942459849,16.8259509737231,7.79262634210949,26.5766205825213,13.8017068256006,0.671875
VisualCogB_Task-1,1,1,F4,46,-9.16579834682157,8.71652022391715,16.8999757957185,6.25080938114344,26.3282640675511,20.363659762053,0.66015625
VisualCogB_Task-1,1,1,common_FzF3F4,46,-5.3435727996973,12.422233298811,16.6624132269947,8.72694646923564,23.8394006723593,22.9633375420631,0.67578125
VisualCogB_Task-1,1,1,F3_minus_F4,46,2.26214041202919,-1.89323611163295,-1.17160517924965,-6.09253841936091,5.60508061546331,4.91400975650397,0.58203125
VisualCogB_Task-2,2,-1,Fz,44,-13.2878052768119,44.5425877434888,61.575233091178,45.840381972239,79.0714464295464,58.2202498320255,0.66796875
VisualCogB_Task-2,2,-1,F3,44,-12.192715209703,26.0065814490658,45.9767266982857,27.2590109658253,61.1010452928199,43.0548128617897,0.65625
VisualCogB_Task-2,2,-1,F4,44,-21.4565412090328,53.5617734647639,74.612147785906,52.5510617943165,97.0009191588838,73.0889082639442,0.6640625
VisualCogB_Task-2,2,-1,common_FzF3F4,44,-15.1929102995264,43.5436524651771,60.5444763517353,40.9129512074756,76.2545447142477,59.4931912467488,0.6640625
VisualCogB_Task-2,2,-1,F3_minus_F4,44,6.0147337555643,-23.6266264481095,-29.3147419743502,-40.0426333294391,-20.1790505247704,-4.90336721216236,0.55078125
VisualCogB_Task-2,2,1,Fz,46,-13.6154862495298,50.6316003616881,65.2061515086911,51.9549163573305,78.3889145006452,71.6375961279871,0.73828125
VisualCogB_Task-2,2,1,F3,46,-10.1348369005745,48.1767141086665,57.5002407463209,44.0024119177626,72.5051148332519,65.6635093519309,0.734375
VisualCogB_Task-2,2,1,F4,46,-12.0991869530588,79.2791164896108,85.386794138369,66.9660348428685,103.281539367709,100.495648144161,0.73828125
VisualCogB_Task-2,2,1,common_FzF3F4,46,-11.4967863162117,60.1436241681369,69.4256923235622,53.894980625349,84.0762743333956,80.7511313790925,0.73828125
